STATE,FIP,deaths,pop,fat_rate,Year
Kentucky,21,617,4369354,14.12,2011
Louisiana,22,865,4575404,18.91,2011
Maine,23,136,1328231,10.24,2011
Maryland,24,542,5843603,9.28,2011
Massachusetts,25,254,6611923,3.84,2011
Michigan,26,1156,9876213,11.7,2011
Minnesota,27,396,5348562,7.4,2011
Mississippi,28,530,2978162,17.8,2011
Missouri,29,854,6010717,14.21,2011
Montana,30,167,997821,16.74,2011
Nebraska,31,161,1842283,8.74,2011
Nevada,32,376,2718379,13.83,2011
New Hampshire,33,92,1318473,6.98,2011
New Jersey,34,482,8841243,5.45,2011
New Mexico,35,306,2077756,14.73,2011
New York,36,997,19519529,5.11,2011
North Carolina,37,1154,9650963,11.96,2011
North Dakota,38,61,685476,8.9,2011
Ohio,39,1227,11544824,10.63,2011
Oklahoma,40,628,3786274,16.59,2011
Oregon,41,420,3868031,10.86,2011
Pennsylvania,42,1438,12744293,11.28,2011
Rhode Island,44,33,1052451,3.14,2011
South Carolina,45,705,4672637,15.09,2011
South Dakota,46,71,824398,8.61,2011
Tennessee,47,948,6397634,14.82,2011
Texas,48,2599,25646389,10.13,2011
Utah,49,308,2816124,10.94,2011
Vermont,50,78,626730,12.45,2011
Virginia,51,868,8110035,10.7,2011
Washington,53,624,6822520,9.15,2011
West Virginia,54,278,1854972,14.99,2011
Wisconsin,55,445,5709640,7.79,2011
Wyoming,56,96,567725,16.91,2011
Alabama,01,782,4779736,16.36,2010
Alaska,02,144,710231,20.28,2010
Arizona,04,931,6392017,14.57,2010
Arkansas,05,419,2915918,14.37,2010
California,06,2935,37253956,7.88,2010
Colorado,08,555,5029196,11.04,2010
Connecticut,09,209,3574097,5.85,2010
Delaware,10,88,897934,9.8,2010
District of Columbia,11,99,601723,16.45,2010
Florida,12,2268,18801310,12.06,2010
Georgia,13,1223,9687653,12.62,2010
Hawaii,15,45,1360301,3.31,2010
Idaho,16,198,1567582,12.63,2010
Illinois,17,1064,12830632,8.29,2010
Indiana,18,709,6483802,10.93,2010
Iowa,19,213,3046355,6.99,2010
Kansas,20,300,2853118,10.51,2010
Kentucky,21,555,4339367,12.79,2010
Louisiana,22,864,4533372,19.06,2010
Maine,23,113,1328361,8.51,2010
Maryland,24,538,5773552,9.32,2010
Massachusetts,25,270,6547629,4.12,2010
Michigan,26,1076,9883640,10.89,2010
Minnesota,27,365,5303925,6.88,2010
Mississippi,28,475,2967297,16.01,2010
Missouri,29,846,5988927,14.13,2010
Montana,30,164,989415,16.58,2010
Nebraska,31,152,1826341,8.32,2010
Nevada,32,395,2700551,14.63,2010
New Hampshire,33,118,1316470,8.96,2010
New Jersey,34,456,8791894,5.19,2010
New Mexico,35,301,2059179,14.62,2010
New York,36,1011,19378102,5.22,2010
North Carolina,37,1123,9535483,11.78,2010
North Dakota,38,65,672591,9.66,2010
Ohio,39,1148,11536504,9.95,2010
Oklahoma,40,538,3751351,14.34,2010
Oregon,41,458,3831074,11.95,2010
Pennsylvania,42,1307,12702379,10.29,2010
Rhode Island,44,49,1052567,4.66,2010
South Carolina,45,648,4625364,14.01,2010
South Dakota,46,75,814180,9.21,2010
Tennessee,47,932,6346105,14.69,2010
Texas,48,2714,25145561,10.79,2010
Utah,49,314,2763885,11.36,2010
Vermont,50,70,625741,11.19,2010
Virginia,51,875,8001024,10.94,2010
Washington,53,609,6724540,9.06,2010
West Virginia,54,273,1852994,14.73,2010
Wisconsin,55,501,5686986,8.81,2010
Wyoming,56,92,563626,16.32,2010
Alabama,01,830,4757938,17.44,2009
Alaska,02,104,698895,14.88,2009
Arizona,04,856,6343154,13.49,2009
Arkansas,05,465,2896843,16.05,2009
California,06,3094,36961229,8.37,2009
Colorado,08,583,4972195,11.73,2009
Connecticut,09,173,3561807,4.86,2009
Delaware,10,76,891730,8.52,2009
District of Columbia,11,111,592228,18.74,2009
Florida,12,2324,18652644,12.46,2009
Georgia,13,1247,9620846,12.96,2009
Hawaii,15,47,1346717,3.49,2009
Idaho,16,196,1554439,12.61,2009
Illinois,17,1058,12796778,8.27,2009
Indiana,18,735,6459325,11.38,2009
Iowa,19,193,3032870,6.36,2009
Kansas,20,303,2832704,10.7,2009
Kentucky,21,560,4317074,12.97,2009
Louisiana,22,810,4491648,18.03,2009
Maine,23,122,1329590,9.18,2009
Maryland,24,586,5730388,10.23,2009
Massachusetts,25,207,6517613,3.18,2009
Michigan,26,1095,9901591,11.06,2009
Minnesota,27,336,5281203,6.36,2009
Mississippi,28,487,2958774,16.46,2009
Missouri,29,822,5961088,13.79,2009
Montana,30,166,983982,16.87,2009
Nebraska,31,132,1812683,7.28,2009
Nevada,32,406,2684665,15.12,2009
New Hampshire,33,89,1316102,6.76,2009
New Jersey,34,411,8755602,4.69,2009
New Mexico,35,299,2036802,14.68,2009
New York,36,958,19307066,4.96,2009
North Carolina,37,1112,9449566,11.77,2009
North Dakota,38,59,664968,8.87,2009
Ohio,39,991,11528896,8.6,2009
Oklahoma,40,533,3717572,14.34,2009
Oregon,41,417,3808600,10.95,2009
Pennsylvania,42,1349,12666858,10.65,2009
Rhode Island,44,56,1053646,5.31,2009
South Carolina,45,634,4589872,13.81,2009
South Dakota,46,75,807067,9.29,2009
Tennessee,47,966,6306019,15.32,2009
Texas,48,2691,24801761,10.85,2009
Utah,49,260,2723421,9.55,2009
Vermont,50,60,624817,9.6,2009
Virginia,51,836,7925937,10.55,2009
Washington,53,623,6667426,9.34,2009
West Virginia,54,251,1847775,13.58,2009
Wisconsin,55,457,5669264,8.06,2009
